Task_ID,Project_Phase,Start_Date,End_Date,Planned_Duration_Days,Task_Duration_Days,Schedule_Variance_Days,Delay_Flag,Labor_Required,Equipment_Units,Planned_Cost_USD,Material_Cost_USD,Cost_Variance_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count,Safety_Incident_Count,Incident_Severity,Near_Miss_Count,Safety_Score
T177,MEP,2024-09-30,2024-10-03,3,3,0,0,3,9,36720.91,32068.85,-4652.06,29,Low,0.93,0.51,1,0,None,0,100.0
T178,Structural,2024-07-04,2024-09-12,69,70,1,1,17,8,23378.7,24908.56,1529.86,20,Medium,0.67,0.57,3,1,Moderate,0,78.4
T179,Closeout & Commissioning,2025-01-13,2025-03-26,72,72,0,0,10,8,18766.43,22276.35,3509.92,10,High,0.27,0.39,2,1,Moderate,0,74.3
T180,Foundation & Sitework,2024-05-03,2024-05-30,25,27,2,1,3,6,39091.75,43060.23,3968.48,2,Low,0.56,0.48,0,0,None,3,89.8
T181,Structural,2024-06-10,2024-06-19,8,9,1,1,18,7,82571.59,90876.01,8304.42,4,High,0.81,0.39,4,0,None,4,92.2
T182,Foundation & Sitework,2024-05-27,2024-07-28,44,62,18,1,18,6,51004.29,51198.91,194.62,28,High,0.84,0.61,1,0,None,0,97.5
T183,Closeout & Commissioning,2025-01-27,2025-03-05,30,37,7,1,17,9,19995.26,19604.12,-391.14,9,Low,0.6,0.82,2,0,None,0,100.0
T184,Finishing & Interiors,2025-01-02,2025-02-22,45,51,6,1,3,3,8466.75,8620.2,153.45,12,Low,0.92,0.23,2,0,None,0,99.8
T185,Structural,2024-06-17,2024-07-31,36,44,8,1,3,3,70139.12,69919.46,-219.66,3,High,0.41,0.41,2,0,None,2,94.1
T186,MEP,2024-09-19,2024-10-13,18,24,6,1,6,3,37023.57,38897.08,1873.51,23,Medium,0.53,0.21,3,0,None,0,98.1
T187,Finishing & Interiors,2024-10-29,2025-01-16,73,79,6,1,13,3,77090.59,82361.26,5270.67,12,Low,0.92,0.6,4,0,None,0,100.0
T188,MEP,2024-08-20,2024-10-18,59,59,0,0,15,9,66131.31,66291.57,160.26,11,Low,0.92,0.68,1,0,None,2,92.3
T189,MEP,2024-10-28,2024-11-29,26,32,6,1,9,4,68468.29,79827.9,11359.61,4,Low,0.75,0.85,0,0,None,0,95.4
T190,Structural,2024-06-24,2024-09-20,79,88,9,1,4,7,27653.25,27922.66,269.41,9,Medium,0.89,0.32,0,1,Minor,1,79.7
T191,Foundation & Sitework,2024-04-08,2024-05-30,43,52,9,1,14,9,62615.56,69543.53,6927.97,27,Medium,0.27,0.86,4,0,None,0,95.1
T192,Finishing & Interiors,2024-10-16,2024-12-17,50,62,12,1,5,7,25808.57,27142.14,1333.57,23,High,0.89,0.15,2,2,Minor,0,74.8
T193,Closeout & Commissioning,2025-01-16,2025-03-15,42,58,16,1,2,9,100205.96,93967.78,-6238.18,8,Low,0.46,0.58,2,0,None,1,100.0
T194,MEP,2024-08-23,2024-10-14,43,52,9,1,11,3,48471.65,64001.05,15529.4,19,Medium,0.34,0.15,2,0,None,1,96.0
T195,Structural,2024-09-02,2024-09-14,8,12,4,1,9,4,37875.87,33126.67,-4749.2,6,Medium,0.39,0.82,2,0,None,3,93.3
T196,Structural,2024-07-31,2024-09-08,39,39,0,0,3,8,29624.52,27681.67,-1942.85,1,Low,0.53,0.52,2,2,Minor,0,68.5
T197,Finishing & Interiors,2024-12-31,2025-01-02,1,2,1,1,9,6,19958.13,19901.73,-56.4,21,Low,0.4,0.64,4,0,None,0,100.0
T198,Finishing & Interiors,2024-12-26,2024-12-29,2,3,1,1,3,5,70912.54,69769.45,-1143.09,23,High,0.46,0.77,3,0,None,3,94.1
T199,Finishing & Interiors,2025-01-03,2025-02-28,42,56,14,1,2,4,22205.4,22652.85,447.45,27,High,0.31,0.22,1,0,None,0,100.0
T200,Finishing & Interiors,2024-11-04,2025-01-24,81,81,0,0,12,8,67563.67,59935.02,-7628.65,22,Low,0.44,0.13,2,0,None,0,99.0
T201,MEP,2024-09-19,2024-11-17,50,59,9,1,10,1,20708.1,27198.87,6490.77,6,Medium,0.66,0.8,3,0,None,0,100.0
T202,Foundation & Sitework,2024-04-15,2024-04-17,1,2,1,1,9,9,63202.08,66534.93,3332.85,7,Low,0.55,0.35,0,0,None,2,91.7
T203,Foundation & Sitework,2024-05-03,2024-05-05,1,2,1,1,15,1,80572.93,81679.03,1106.1,6,Medium,0.48,0.2,4,0,None,2,98.9
T204,Finishing & Interiors,2024-10-18,2024-12-11,42,54,12,1,8,8,59192.18,78024.5,18832.32,20,Medium,0.8,0.47,3,0,None,1,92.3
T205,MEP,2024-11-04,2025-01-30,71,87,16,1,5,4,65008.53,76324.28,11315.75,22,Medium,0.91,0.58,2,1,Serious,0,61.0
T206,Pre-Construction,2024-03-18,2024-03-19,1,1,0,0,11,9,18935.82,19584.52,648.7,28,High,0.81,0.12,2,0,None,3,92.6
T207,Foundation & Sitework,2024-04-29,2024-05-18,13,19,6,1,2,5,9655.59,9750.11,94.52,13,Medium,0.47,0.32,2,0,None,2,95.9
T208,MEP,2024-10-21,2024-10-23,1,2,1,1,15,3,76091.91,70195.93,-5895.98,25,Low,0.8,0.13,3,0,None,0,96.2
T209,Pre-Construction,2024-03-27,2024-05-19,47,53,6,1,6,9,30631.01,37466.37,6835.36,18,Medium,0.32,0.44,2,1,Moderate,0,79.4
T210,Foundation & Sitework,2024-06-06,2024-07-20,45,44,-1,0,8,9,48970.04,43802.28,-5167.76,4,Low,0.3,0.82,3,0,None,1,93.8
T211,MEP,2024-10-07,2024-11-08,31,32,1,1,5,4,4164.69,4083.76,-80.93,22,Low,0.48,0.89,2,1,Minor,1,83.2
T212,MEP,2024-11-06,2025-01-15,70,70,0,0,16,4,26471.15,26698.07,226.92,24,Low,0.85,0.61,0,0,None,0,97.2
T213,MEP,2024-09-23,2024-10-25,36,32,-4,0,18,8,4340.59,4333.96,-6.63,17,Low,0.4,0.23,0,0,None,0,98.1
T214,Foundation & Sitework,2024-06-03,2024-08-10,63,68,5,1,6,2,88156.74,88039.39,-117.35,19,Medium,0.25,0.82,1,0,None,0,100.0
T215,Finishing & Interiors,2024-12-30,2025-02-23,43,55,12,1,5,9,22103.74,25096.27,2992.53,11,Low,0.31,0.51,2,0,None,0,99.2
T216,Structural,2024-06-07,2024-08-21,52,75,23,1,16,6,55432.97,56176.38,743.41,22,Medium,0.89,0.22,2,0,None,0,96.6
T217,Structural,2024-06-24,2024-08-19,50,56,6,1,13,9,3668.31,4858.95,1190.64,16,Medium,0.71,0.84,3,0,None,0,96.7
T218,Finishing & Interiors,2024-11-26,2024-12-13,17,17,0,0,5,8,75890.93,67017.89,-8873.04,12,Low,0.4,0.71,3,0,None,4,87.2
T219,MEP,2024-11-05,2024-12-13,29,38,9,1,13,7,35941.29,32979.71,-2961.58,1,High,0.64,0.69,2,0,None,0,100.0
T220,Finishing & Interiors,2024-11-25,2024-12-19,26,24,-2,0,17,1,75266.99,89894.0,14627.01,24,Low,0.62,0.67,1,0,None,0,100.0
T221,MEP,2024-08-21,2024-10-29,53,69,16,1,18,3,81810.03,88923.7,7113.67,12,Low,0.72,0.26,2,0,None,2,89.8
T222,MEP,2024-09-13,2024-11-22,77,70,-7,0,8,2,33261.93,33203.77,-58.16,25,Medium,0.39,0.27,3,0,None,4,86.9
T223,Foundation & Sitework,2024-05-20,2024-08-14,61,86,25,1,13,5,73699.03,90195.13,16496.1,6,Low,0.89,0.65,2,0,None,0,96.0
T224,Structural,2024-08-19,2024-08-30,7,11,4,1,19,5,108766.69,99619.61,-9147.08,27,Low,0.45,0.28,3,0,None,5,80.2
T225,Structural,2024-07-22,2024-08-07,13,16,3,1,3,5,62213.9,82716.15,20502.25,9,Medium,0.76,0.45,2,0,None,2,95.6
T226,Structural,2024-08-21,2024-11-02,53,73,20,1,8,4,70719.02,84642.26,13923.24,22,Medium,0.21,0.73,4,0,None,3,92.0
T227,Closeout & Commissioning,2025-01-13,2025-03-13,44,59,15,1,2,5,27563.36,25651.86,-1911.5,5,Low,0.5,0.73,3,0,None,0,96.6
T228,Structural,2024-07-29,2024-10-07,61,70,9,1,8,3,58725.95,58093.54,-632.41,2,High,0.48,0.46,1,0,None,4,85.3
T229,Finishing & Interiors,2024-12-27,2025-03-17,79,80,1,1,13,1,7557.39,7658.34,100.95,25,Medium,0.63,0.73,4,0,None,4,83.2
T230,MEP,2024-09-30,2024-10-03,2,3,1,1,13,5,9205.47,10396.88,1191.41,2,High,0.26,0.77,2,0,None,0,100.0
T231,Finishing & Interiors,2024-12-26,2025-01-15,15,20,5,1,1,9,99278.88,99890.37,611.49,17,Low,0.83,0.62,3,1,Moderate,0,79.7
T232,MEP,2024-10-17,2024-12-15,41,59,18,1,6,9,33246.36,33337.29,90.93,10,Medium,0.37,0.28,4,1,Minor,5,66.4
T233,MEP,2024-10-14,2024-11-19,36,36,0,0,19,4,75916.34,75070.21,-846.13,21,High,0.74,0.32,1,0,None,0,97.3
T234,MEP,2024-10-31,2024-11-19,14,19,5,1,16,3,80808.65,80859.84,51.19,19,Medium,0.84,0.35,3,0,None,3,94.7
T235,Foundation & Sitework,2024-05-13,2024-07-19,55,67,12,1,8,1,86955.05,85944.3,-1010.75,4,Medium,0.65,0.19,4,0,None,4,92.3
T236,Finishing & Interiors,2024-11-05,2024-11-24,17,19,2,1,1,2,84119.27,99765.2,15645.93,18,Low,0.79,0.32,4,1,Minor,3,75.2
T237,Structural,2024-06-24,2024-07-14,18,20,2,1,16,8,22286.44,24908.15,2621.71,21,Low,0.73,0.27,4,0,None,0,95.5
T238,Pre-Construction,2024-04-09,2024-06-19,72,71,-1,0,9,1,5056.66,4994.73,-61.93,26,Low,0.48,0.46,0,0,None,1,92.4
T239,MEP,2024-08-12,2024-10-03,44,52,8,1,13,8,38270.23,41707.96,3437.73,27,Low,0.85,0.83,2,1,Minor,2,79.7
T240,Foundation & Sitework,2024-06-04,2024-07-07,26,33,7,1,11,7,13724.99,13877.99,153.0,18,High,0.44,0.18,3,0,None,2,92.9
T241,Closeout & Commissioning,2024-12-30,2025-02-08,40,40,0,0,13,8,2766.15,3220.16,454.01,29,Low,0.66,0.68,3,0,None,1,92.3
T242,Closeout & Commissioning,2025-02-10,2025-03-21,36,39,3,1,10,6,36331.36,36682.26,350.9,14,High,0.8,0.65,3,0,None,0,100.0
T243,Closeout & Commissioning,2025-01-13,2025-04-05,61,82,21,1,4,9,77046.85,78590.09,1543.24,29,High,0.5,0.18,4,1,Moderate,4,58.1
T244,Structural,2024-08-22,2024-08-23,1,1,0,0,6,3,47203.28,57051.89,9848.61,15,Low,0.44,0.84,2,0,None,0,100.0
T245,Pre-Construction,2024-03-28,2024-04-08,12,11,-1,0,7,4,27411.9,31965.02,4553.12,23,Low,0.57,0.55,1,0,None,0,98.1
T246,Closeout & Commissioning,2025-01-06,2025-03-04,42,57,15,1,5,6,57359.12,65779.86,8420.74,8,High,0.85,0.39,3,0,None,0,95.4
T247,Structural,2024-08-26,2024-11-23,90,89,-1,0,11,8,24417.53,23969.8,-447.73,3,High,0.94,0.71,2,0,None,0,100.0
T248,Closeout & Commissioning,2024-12-30,2025-02-18,44,50,6,1,13,5,2430.66,2423.76,-6.9,14,Low,0.64,0.31,2,0,None,1,96.0
T249,Closeout & Commissioning,2025-02-11,2025-03-06,19,23,4,1,19,3,59806.83,76670.99,16864.16,24,Low,0.73,0.65,0,0,None,3,95.7
T250,Finishing & Interiors,2024-12-02,2025-01-02,22,31,9,1,10,6,61845.58,62750.57,904.99,11,Medium,0.92,0.13,3,0,None,2,94.4
T251,Structural,2024-08-05,2024-09-16,44,42,-2,0,10,4,64598.19,76467.96,11869.77,22,Medium,0.28,0.77,4,0,None,0,97.8
T252,Structural,2024-07-30,2024-08-06,5,7,2,1,11,9,3782.15,4854.86,1072.71,2,Low,0.39,0.46,2,0,None,0,100.0
T253,Finishing & Interiors,2024-12-12,2024-12-28,16,16,0,0,7,3,92260.03,83874.84,-8385.19,22,Medium,0.77,0.61,2,0,None,0,97.7
T254,Structural,2024-07-11,2024-09-09,60,60,0,0,18,4,50616.77,62333.09,11716.32,13,Low,0.86,0.28,1,1,Minor,3,80.0
T255,Foundation & Sitework,2024-05-06,2024-05-08,1,2,1,1,4,7,50425.75,56776.14,6350.39,16,Low,0.89,0.64,0,0,None,0,98.7
T256,MEP,2024-10-01,2024-10-02,1,1,0,0,2,7,59673.66,62836.79,3163.13,18,Low,0.53,0.72,2,0,None,1,97.5
T257,Closeout & Commissioning,2025-01-03,2025-02-20,36,48,12,1,14,4,75259.73,86578.89,11319.16,5,Low,0.27,0.48,2,0,None,0,95.5
T258,MEP,2024-09-11,2024-09-23,10,12,2,1,13,6,52203.91,59106.71,6902.8,3,Low,0.55,0.59,4,0,None,0,99.3
T259,MEP,2024-08-15,2024-10-23,69,69,0,0,12,3,45596.92,58514.09,12917.17,6,Low,0.38,0.47,4,1,Moderate,0,78.3
T260,Foundation & Sitework,2024-04-12,2024-05-19,39,37,-2,0,7,6,98062.67,99077.24,1014.57,29,Low,0.43,0.82,1,0,None,0,100.0
T261,MEP,2024-09-16,2024-10-18,30,32,2,1,2,2,57492.81,75916.29,18423.48,18,Low,0.82,0.5,1,0,None,0,97.2
T262,Closeout & Commissioning,2025-02-10,2025-02-19,8,9,1,1,13,8,34002.79,44787.09,10784.3,16,Low,0.26,0.77,1,0,None,0,97.3
T263,Foundation & Sitework,2024-05-09,2024-05-28,19,19,0,0,14,2,65031.57,71032.3,6000.73,24,High,0.86,0.74,4,0,None,1,100.0
T264,MEP,2024-10-14,2024-12-01,42,48,6,1,17,7,35320.64,39533.82,4213.18,15,Low,0.54,0.43,4,0,None,0,100.0
T265,Finishing & Interiors,2024-10-24,2025-01-12,79,80,1,1,9,9,24033.0,23658.67,-374.33,14,Low,0.68,0.28,0,0,None,0,96.0
T266,Finishing & Interiors,2024-11-18,2024-11-21,2,3,1,1,17,1,68860.92,60088.34,-8772.58,21,Medium,0.27,0.42,3,0,None,0,99.5
T267,MEP,2024-09-25,2024-10-15,20,20,0,0,8,8,81041.29,92890.03,11848.74,7,High,0.47,0.76,3,0,None,0,98.4
T268,Finishing & Interiors,2024-11-13,2024-12-07,20,24,4,1,2,7,99356.1,92984.81,-6371.29,18,Low,0.27,0.28,0,0,None,0,100.0
T269,Structural,2024-06-28,2024-08-21,43,54,11,1,13,6,34884.99,34848.62,-36.37,7,Medium,0.97,0.52,3,0,None,0,95.8
T270,Structural,2024-06-10,2024-07-13,27,33,6,1,3,6,53639.94,53240.07,-399.87,17,Medium,0.85,0.74,4,1,Moderate,0,72.1
T271,Finishing & Interiors,2024-10-31,2024-11-24,17,24,7,1,16,6,19972.67,21951.95,1979.28,27,Medium,0.57,0.38,3,0,None,0,100.0
T272,Finishing & Interiors,2024-11-25,2025-02-08,54,75,21,1,6,9,80448.12,99567.48,19119.36,15,Low,0.38,0.61,4,1,Moderate,0,70.5
T273,Finishing & Interiors,2024-12-10,2025-02-20,72,72,0,0,19,2,94071.53,98130.67,4059.14,19,Medium,0.95,0.3,0,1,Minor,2,78.9
T274,Closeout & Commissioning,2025-02-17,2025-03-25,37,36,-1,0,7,1,64124.11,65301.38,1177.27,18,Low,0.48,0.19,1,0,None,1,96.4
T275,MEP,2024-08-28,2024-10-05,26,38,12,1,10,6,71365.08,80636.99,9271.91,9,Medium,0.33,0.74,0,0,None,0,98.3
T276,MEP,2024-10-16,2025-01-08,79,84,5,1,9,8,76994.08,71794.92,-5199.16,16,Medium,0.65,0.18,3,0,None,0,98.9
T277,Finishing & Interiors,2024-11-13,2025-02-10,65,89,24,1,2,3,53783.88,59722.66,5938.78,12,Low,0.96,0.32,4,1,Minor,0,85.3
T278,MEP,2024-09-30,2024-10-25,19,25,6,1,15,1,5414.46,6281.45,866.99,12,High,0.2,0.78,3,0,None,0,96.6
T279,Finishing & Interiors,2024-10-23,2024-11-10,16,18,2,1,5,9,45691.66,46021.67,330.01,6,Low,0.39,0.38,3,0,None,0,100.0
T280,Finishing & Interiors,2024-12-12,2025-03-04,58,82,24,1,4,1,62901.84,67803.84,4902.0,26,High,0.95,0.88,1,0,None,0,100.0
T281,Finishing & Interiors,2024-10-15,2024-12-20,60,66,6,1,4,3,61398.55,68075.63,6677.08,9,Low,0.34,0.88,3,0,None,0,100.0
T282,Structural,2024-06-10,2024-08-03,42,54,12,1,18,8,38659.84,37939.14,-720.7,1,Low,0.29,0.31,1,0,None,1,93.5
T283,Structural,2024-05-29,2024-07-03,31,35,4,1,4,3,101702.92,94227.51,-7475.41,3,Low,0.66,0.13,4,0,None,2,90.5
T284,Foundation & Sitework,2024-05-13,2024-08-01,67,80,13,1,17,4,17529.5,17568.35,38.85,24,High,0.89,0.66,4,1,Minor,1,79.7
T285,MEP,2024-09-04,2024-11-04,70,61,-9,0,12,8,50690.32,50535.59,-154.73,5,Low,0.58,0.46,1,0,None,5,83.6
T286,Pre-Construction,2024-03-11,2024-04-21,33,41,8,1,17,1,70739.22,69397.51,-1341.71,23,Low,1.0,0.18,0,0,None,0,99.1
T287,MEP,2024-10-10,2024-11-12,34,33,-1,0,10,6,74146.86,70016.44,-4130.42,17,Low,0.74,0.67,4,0,None,0,100.0
T288,MEP,2024-09-30,2024-12-07,55,68,13,1,1,1,53484.2,65215.26,11731.06,22,Medium,0.26,0.12,0,0,None,2,89.6
T289,Structural,2024-07-29,2024-08-31,25,33,8,1,18,1,22955.52,28253.53,5298.01,5,Medium,0.99,0.8,4,1,Minor,1,77.3
T290,MEP,2024-10-18,2024-11-01,14,14,0,0,18,8,13770.68,16464.45,2693.77,28,Low,0.53,0.21,4,0,None,0,98.9
T291,Pre-Construction,2024-03-18,2024-04-08,22,21,-1,0,14,4,60792.98,63958.09,3165.11,29,Low,0.43,0.2,2,1,Minor,1,84.0
T292,Pre-Construction,2024-04-01,2024-05-19,52,48,-4,0,15,1,60757.74,60330.91,-426.83,24,Low,0.65,0.24,3,0,None,1,93.9
T293,Finishing & Interiors,2024-10-23,2024-11-12,14,20,6,1,12,7,18429.21,18756.25,327.04,22,Low,0.44,0.87,3,0,None,1,98.4
T294,Structural,2024-07-03,2024-07-11,5,8,3,1,4,5,71081.09,70808.78,-272.31,16,Low,0.27,0.65,0,0,None,0,97.6
T295,Foundation & Sitework,2024-05-17,2024-05-24,8,7,-1,0,3,5,37185.51,46062.03,8876.52,13,Medium,0.2,0.74,3,0,None,0,100.0
T296,MEP,2024-09-30,2024-12-06,56,67,11,1,12,1,66332.45,67108.3,775.85,23,Low,0.56,0.42,0,0,None,0,100.0
T297,Finishing & Interiors,2024-12-02,2024-12-19,12,17,5,1,7,6,65847.82,83899.34,18051.52,10,Low,0.87,0.37,4,0,None,4,86.0
T298,Foundation & Sitework,2024-04-15,2024-05-18,27,33,6,1,11,9,17468.66,17803.11,334.45,25,Low,0.66,0.29,2,0,None,1,94.3
T299,MEP,2024-08-22,2024-10-09,39,48,9,1,1,9,2935.16,2895.34,-39.82,18,High,1.0,0.48,2,0,None,0,99.1
T300,Foundation & Sitework,2024-04-02,2024-06-17,76,76,0,0,6,8,67874.7,78131.16,10256.46,29,High,0.43,0.54,4,0,None,1,94.4
T301,Pre-Construction,2024-04-12,2024-06-10,53,59,6,1,15,5,56581.98,61360.05,4778.07,1,High,0.42,0.61,1,0,None,0,100.0
T302,MEP,2024-10-28,2025-01-22,76,86,10,1,15,1,66088.43,70264.32,4175.89,27,Low,0.33,0.31,1,1,Serious,0,63.3
T303,MEP,2024-11-11,2024-12-03,19,22,3,1,19,9,85500.04,83977.34,-1522.7,2,Low,0.33,0.86,3,1,Minor,0,86.7
T304,MEP,2024-09-16,2024-10-16,24,30,6,1,11,1,83594.39,80478.28,-3116.11,10,Low,0.43,0.24,0,1,Minor,0,88.2
T305,Finishing & Interiors,2024-11-08,2024-12-16,35,38,3,1,2,8,94974.03,96131.09,1157.06,5,Low,0.83,0.87,2,1,Minor,0,84.0
T306,Closeout & Commissioning,2024-12-30,2025-02-19,40,51,11,1,14,5,48299.31,54057.57,5758.26,28,Medium,0.92,0.11,3,0,None,1,93.6
T307,MEP,2024-09-11,2024-11-04,46,54,8,1,2,3,41144.84,49361.07,8216.23,13,Medium,0.98,0.48,4,2,Minor,2,66.4
T308,Structural,2024-08-28,2024-09-05,8,8,0,0,4,7,40859.92,40786.83,-73.09,18,High,0.39,0.37,2,1,Minor,4,71.6
T309,Finishing & Interiors,2024-11-25,2024-12-22,19,27,8,1,17,7,15972.6,16215.41,242.81,25,High,0.91,0.46,0,0,None,0,100.0
T310,Structural,2024-05-31,2024-06-27,22,27,5,1,3,9,52280.43,57688.12,5407.69,15,Low,0.46,0.56,0,0,None,0,97.7
T311,Structural,2024-06-06,2024-06-27,21,21,0,0,13,7,26078.52,28424.24,2345.72,20,Medium,0.29,0.45,1,0,None,3,86.8
T312,Pre-Construction,2024-03-04,2024-04-03,30,30,0,0,9,3,91152.88,92209.44,1056.56,21,Low,0.9,0.43,3,0,None,0,100.0
T313,Pre-Construction,2024-04-08,2024-05-06,20,28,8,1,7,1,51661.05,58735.89,7074.84,23,Low,0.71,0.69,4,0,None,0,96.6
T314,Closeout & Commissioning,2025-02-17,2025-04-22,55,64,9,1,15,8,48655.06,59691.18,11036.12,6,Medium,0.33,0.65,2,0,None,2,98.9
T315,Finishing & Interiors,2024-10-14,2024-12-22,53,69,16,1,11,3,33324.61,36137.54,2812.93,29,Low,0.54,0.77,0,0,None,1,100.0
T316,MEP,2024-10-28,2024-12-28,61,61,0,0,2,8,5466.67,6146.95,680.28,26,Low,0.43,0.3,2,0,None,2,96.9
T317,Structural,2024-05-28,2024-07-15,56,48,-8,0,15,8,4461.24,4142.63,-318.61,7,Low,0.79,0.59,4,0,None,0,100.0
T318,Foundation & Sitework,2024-04-22,2024-05-11,19,19,0,0,14,5,49225.48,42910.18,-6315.3,18,Medium,0.56,0.57,2,0,None,1,97.8
T319,Foundation & Sitework,2024-05-31,2024-06-04,2,4,2,1,11,1,9542.41,9371.97,-170.44,19,Medium,0.99,0.4,3,0,None,1,100.0
T320,Structural,2024-08-21,2024-09-25,36,35,-1,0,3,7,48493.96,61077.85,12583.89,15,Low,0.24,0.49,1,0,None,2,91.9
T321,MEP,2024-08-26,2024-10-29,56,64,8,1,17,5,80879.82,88216.33,7336.51,21,High,0.48,0.35,2,0,None,0,99.7
T322,Finishing & Interiors,2024-12-20,2025-02-07,41,49,8,1,12,8,84432.99,88408.57,3975.58,26,Low,0.59,0.21,1,0,None,1,98.2
T323,MEP,2024-08-16,2024-09-02,15,17,2,1,15,9,59639.57,66245.5,6605.93,6,Low,0.6,0.27,4,0,None,4,87.1
T324,Structural,2024-06-17,2024-07-31,47,44,-3,0,16,7,21707.55,21911.95,204.4,8,Medium,0.45,0.18,1,0,None,0,99.3
T325,Closeout & Commissioning,2025-01-13,2025-02-12,22,30,8,1,5,7,74222.87,86436.69,12213.82,12,Medium,0.78,0.65,2,0,None,0,98.3
T326,Finishing & Interiors,2025-01-03,2025-02-18,45,46,1,1,6,1,70880.99,88723.25,17842.26,0,High,0.9,0.63,2,0,None,2,94.6
T327,MEP,2024-08-05,2024-08-11,4,6,2,1,19,4,15989.51,20468.7,4479.19,28,Low,0.95,0.86,0,0,None,2,97.5
T328,MEP,2024-09-03,2024-10-10,34,37,3,1,5,2,58029.67,74005.18,15975.51,7,Medium,0.84,0.68,2,2,Minor,0,67.0
T329,Structural,2024-09-02,2024-09-26,20,24,4,1,3,2,26160.83,29365.44,3204.61,23,Medium,0.88,0.14,1,0,None,0,100.0
T330,Structural,2024-06-19,2024-08-04,35,46,11,1,1,2,65882.47,80461.39,14578.92,21,High,0.64,0.81,0,0,None,0,100.0
T331,Structural,2024-06-10,2024-08-02,54,53,-1,0,6,4,106462.09,99726.55,-6735.54,3,Low,0.86,0.79,2,0,None,0,100.0
T332,Finishing & Interiors,2024-11-18,2025-01-17,52,60,8,1,15,1,3800.16,3972.57,172.41,2,Medium,0.44,0.45,2,0,None,4,88.6
T333,Pre-Construction,2024-03-08,2024-05-10,63,63,0,0,2,4,73277.87,89839.22,16561.35,26,Medium,0.52,0.57,4,0,None,2,96.8
T334,Foundation & Sitework,2024-04-24,2024-07-18,85,85,0,0,3,2,64593.5,62640.42,-1953.08,2,Low,0.45,0.88,0,2,Moderate,1,52.2
T335,Pre-Construction,2024-04-03,2024-05-05,33,32,-1,0,17,5,105066.63,97364.88,-7701.75,21,Low,0.57,0.53,4,1,Minor,0,88.2
T336,Pre-Construction,2024-03-18,2024-06-13,78,87,9,1,12,3,46714.93,47035.94,321.01,12,Low,0.43,0.82,4,0,None,2,89.4
T337,Finishing & Interiors,2025-01-01,2025-02-03,28,33,5,1,18,8,85548.05,84891.41,-656.64,7,Medium,0.97,0.17,4,0,None,0,100.0
T338,Finishing & Interiors,2024-11-06,2025-01-12,51,67,16,1,15,4,5751.84,7177.01,1425.17,6,High,0.45,0.25,3,0,None,1,100.0
T339,MEP,2024-10-21,2024-11-08,20,18,-2,0,12,1,30879.34,34192.63,3313.29,26,Medium,0.28,0.45,4,0,None,0,97.9
T340,Foundation & Sitework,2024-04-24,2024-05-19,27,25,-2,0,16,1,6042.38,7634.64,1592.26,0,Medium,0.62,0.57,1,0,None,3,88.1
T341,MEP,2024-09-27,2024-11-20,41,54,13,1,8,3,96754.76,97558.97,804.21,26,Medium,0.25,0.75,2,0,None,0,100.0
T342,MEP,2024-08-30,2024-10-27,58,58,0,0,14,9,81704.63,81880.42,175.79,15,Low,0.29,0.89,3,0,None,0,97.5
T343,Foundation & Sitework,2024-06-05,2024-08-11,58,67,9,1,17,7,69180.55,85402.19,16221.64,5,Low,0.38,0.41,4,0,None,0,100.0
T344,Structural,2024-08-14,2024-09-29,39,46,7,1,8,2,76734.77,93858.56,17123.79,6,Low,0.57,0.14,2,0,None,0,96.0
T345,Structural,2024-07-03,2024-07-27,18,24,6,1,15,9,9608.99,9425.25,-183.74,11,Low,0.55,0.74,0,0,None,0,96.3
T346,MEP,2024-10-08,2024-11-09,32,32,0,0,14,2,36058.43,39174.16,3115.73,22,Low,0.84,0.58,0,0,None,1,100.0
T347,MEP,2024-10-18,2024-12-04,41,47,6,1,18,3,8084.6,8032.45,-52.15,8,Medium,0.79,0.26,2,1,Serious,0,61.7
T348,Pre-Construction,2024-04-08,2024-07-03,85,86,1,1,7,2,21964.46,21868.52,-95.94,26,Low,0.54,0.5,1,1,Moderate,0,78.5
T349,Structural,2024-07-08,2024-07-31,23,23,0,0,3,3,24100.84,23707.21,-393.63,10,Low,0.47,0.69,2,0,None,0,98.2
T350,MEP,2024-09-02,2024-11-07,66,66,0,0,12,6,46789.5,47441.61,652.11,9,Low,0.45,0.72,2,0,None,0,100.0
T351,MEP,2024-09-10,2024-10-07,19,27,8,1,3,9,30904.12,27587.65,-3316.47,20,Low,0.82,0.5,3,0,None,0,100.0
T352,Finishing & Interiors,2025-01-02,2025-01-04,1,2,1,1,14,9,9292.11,10996.83,1704.72,0,High,0.24,0.34,0,1,Minor,0,86.0
T353,MEP,2024-10-01,2024-10-18,14,17,3,1,15,7,17423.15,17581.62,158.47,17,High,0.21,0.88,0,0,None,1,98.8
T354,Foundation & Sitework,2024-05-24,2024-06-26,26,33,7,1,14,3,15564.35,15580.28,15.93,3,Medium,0.84,0.63,4,0,None,0,100.0
T355,Pre-Construction,2024-04-11,2024-04-20,7,9,2,1,7,4,87267.2,97334.6,10067.4,4,Low,0.58,0.43,2,1,Serious,0,59.3
T356,MEP,2024-09-16,2024-10-29,45,43,-2,0,17,6,64177.08,76169.96,11992.88,8,Medium,0.3,0.32,2,0,None,0,97.8
